FROM,TO,VALUE
3480,3480,700
3519,3519,522
3549,3549,600
3583,3583,501
3597,3597,501
3628,3628,502
3631,3631,500
3844,3844,500
3848,3848,500
4251,4251,550
4295,4295,530
4627,4627,550
4642,4642,521
4745,4745,510
4925,4925,530
5012,5012,502
5096,5096,500
5118,5118,522
5187,5187,551
5241,5241,530
579,579,550
580,580,550
581,581,550
582,582,550
583,583,600
584,584,530
585,585,700
633,633,521
718,718,530
964,964,521
967,967,700
998,998,500
1089,1089,502
1138,1138,700
1188,1188,550
1246,1246,700
1355,1355,600
1432,1432,501
1668,1668,501
1799,1799,521
1925,1925,500
1937,1937,521
2053,2053,550
2152,2152,550
2192,2192,521
2261,2261,700
2303,2303,600
2355,2355,551
2391,2391,551
2458,2458,600
2472,2472,521
2475,2475,500
2525,2525,700
2562,2562,600
2583,2583,530
2679,2679,600
2695,2695,521
2702,2702,521
2735,2735,530
2752,2752,522
